abbreviation_de,title_de,description_de,abbreviation_en,Title_en,description_en,body_region_de,body_detail_de,Body_region_en,body_detail_en,deception_rating
Acc,Arme verschränkt,Arme verschränkt, oft aus Temperaturgründen oder Komfort,Acc,arm cross,Arms crossed, often due to temperature or comfort,Oberkörper,Arm,upperbody,arm,4
Sh,Schulterzucken,Schultern werden hochgezogen, zeigt Unsicherheit oder Gleichgültigkeit,Sh,shoulder shrug,Shoulders raised, showing uncertainty or indifference,Oberkörper,Arm,upperbody,arm,1
Ec,Ellenbogen geschlossen,Ellenbogen werden eng am Körper gehalten, schützt die eigene Mitte,Ec,ellbow closure,Elbows held close to the body, protecting personal space,Oberkörper,Arm,upperbody,arm,3.5
Eo,Ellenbogen nach außen,Ellenbogen werden nach außen gestreckt, signalisiert Abwehr,Eo,ellbows out ,Elbows extended outward, signaling defensiveness,Oberkörper,Arm,upperbody,arm,1
Bh,Hinter dem Kopf,Hände hinter dem Kopf verschränkt, wirkt entspannt oder selbstbewusst,Bh,behind head,Hands clasped behind head, appearing relaxed or confident,Oberkörper,Arm,upperbody,arm,1.5
Ah,Hände in die Hüften,Arme auf Hüfte, zeigt Dominanz oder Selbstsicherheit,Ah,arms on hips,Arms on hips, showing dominance or confidence,Oberkörper,Arm,Hüfte,upperbody,arm,hip,1.5
Shg,Selbstumarmung,Arme werden um den eigenen Körper gelegt, signalisiert Schutz,Shg,self hug ,Arms wrapped around oneself, signaling self-protection,Oberkörper,Arm,upperbody,arm,1.5
Bb,Hände hinter dem Rücken,Arme hinter dem Rücken verschränkt, neutral oder abwartend,Bb,arms behind back,Arms held behind back, neutral or waiting posture,Oberkörper,Arm,upperbody,arm,1.5
Wp,Einarmig umschlungen,Ein Arm um den Körper gelegt, signalisiert Unsicherheit oder Schutz,Wp,single arm wrap,One arm wrapped around body, signaling insecurity or defense,Oberkörper,Arm,upperbody,arm,2.5
Ia,Arme in die Luft,Arme werden erhoben, kann Überraschung oder Freude zeigen,Ia,arms in air,Arms raised, indicating surprise or excitement,Oberkörper,Arm,upperbody,arm,2
Ba,Barriere-Geste,Arme oder Beine werden abwehrend positioniert,Ba,barrier gesture,Arms or legs positioned defensively,Oberkörper/Unterkörper,Arm/Bein,upperbody,lowerbody,arm,leg,3
Ca,Stuhlarm,Arm auf Stuhllehne gelegt,Ca,chair arms,Arm on chair armrest,Oberkörper,Arm,upperbody,arm,2
Pr,Schützende Gesten,Hände oder Arme schützen Körpermitte,Pr,protecting gestures,Hands or arms protect the torso,Oberkörper,Arme,upperbody,arms,2.5
Ps,Haltung,Haltung des gesamten Körpers beobachten,Ps,posture,Observe whole body posture,Körper,Körper,body,body,1
Bn,Augenbrauen verengen,Augenbrauen werden nach unten gezogen,Bn,eyebrow narrowing,Eyebrows drawn downward,Kopf,Augenbraue,head,brow,2.5
Vn,Belüftung,Brustbewegung beim Atmen sichtbar,Vn,ventilation,Visible chest movement when breathing,Oberkörper,Brust,upperbody,chest,3
Bre,Atmungsrate,Beobachtung der Atemfrequenz,Bre,breathing rate,Observation of breathing rate,Oberkörper,Brust,upperbody,chest,0
Fc,Rumpfposition,Torso wird zum Gegenüber oder weg gedreht,Fc,torso facing,Torso turned toward or away from interlocutor,Oberkörper,Brust,upperbody,chest,0
Pt,Körperneigung,Leichte Neigung des Oberkörpers,Pt,posture tilt,Body slightly tilted,Oberkörper,Brust,upperbody,chest,0
Ct,Kinn vorstrecken,Kinn wird nach vorne gestreckt,Ct,chin thrust,Chin pushed forward,Kopf,Kinn,head,chin,4
Cs,Kinnstreichen,Kinn wird berührt oder gestreichelt,Cs,chin stroke,Chin touched or stroked,Kopf,Kinn,head,chin,1
Bc,Nachlässigkeit bei Eigentum,Lockerheit beim Umgang mit Kleidung oder Eigentum,Bc,belonging carelessmess,Carelessness with clothing or belongings,Verhalten,Kleidung,behaviour,clothing,1
Jb,Jacke zuknöpfen,Jacke wird zugeknöpft,Jb,jacket buttoning,Jacket being buttoned,Verhalten,Kleidung,behaviour,clothing,1.5
Cc,Kleidung bedecken,Kleidung wird bewusst bedeckt,Cc,clothing covering,Clothing being deliberately covered,Verhalten,Kleidung,behaviour,clothing,1.5
Ef,Augenbrauenblitz,Kurzer Augenbrauenbewegung nach oben,Ef,eyebrow flash,Brief eyebrow raise,Kopf,Auge,head,eye,1
Cg,Bestätigungsschein,Blick zur Bestätigung, Cg,confirmation glance,Glance for confirmation,Kopf,Auge,head,eye,4
